TARGET_PERIOD,FCT_SOURCE,10,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility
2000Q3,76,3.6,,,,,2.5,7.5,12.5,20,27.5,30,4.395604395604396
2000Q3,85,2.2,,,,,,,,,,,1
2000Q3,87,3.3,,,,,,,15,70,15,,1.8691588785046729
2000Q3,89,2.9,,,,,5,10,30,40,15,,3.508771929824561
2000Q3,90,3,,,,,,,25,65,10,,2.0202020202020203
2000Q3,91,3.1,,,,.1,1.3,10.1,30.6,36.7,17.6,3.6,3.690472675740308
2000Q3,92,2.82,,,,,,,,,,,1
2000Q3,94,3.1,,,,,,,50,50,,,2.0
2000Q3,95,3.3,,,1.98019802,3.96039604,5.94059406,10.89108911,16.83168317,18.81188119,17.82178218,23.76237624,5.906774752727157
""
TARGET_PERIOD,FCT_SOURCE,12,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0,Volatility
2000Q4,1,3.2,0,0,0,0,0,5,35,50,10,0,0,0,2.5974025974025974
2000Q4,2,3.2,0,0,0,0,0,0,20,50,30,0,0,0,2.6315789473684212
2000Q4,3,3.2,0,0,0,0,0,0,30,50,20,0,0,0,2.6315789473684212
2000Q4,4,3.5,0,0,0,0,0,0,10,30,50,10,0,0,2.7777777777777777
2000Q4,5,2.5,0,0,0,0,5,20,60,15,0,0,0,0,2.3529411764705883
2000Q4,7,3.9,,,,,,,,,,,,,1
2000Q4,9,3.3,0,0,0,0,0,0,10,80,10,0,0,0,1.5151515151515151
2000Q4,10,3.6,0,0,0,0,0,5.55555556,22.22222222,44.44444444,22.22222222,5.55555556,0,0,3.306122449519367
2000Q4,14,3,0,0,0,0,0,0,40,60,0,0,0,0,1.9230769230769231
2000Q4,15,2.8,0,0,0,0,0,5,45,50,0,0,0,0,2.197802197802198
2000Q4,16,3,0,0,0,0,0,5,20,50,20,5,0,0,2.985074626865672
2000Q4,17,3.5,0,0,0,0,0,5,20,40,30,5,0,0,3.389830508474576
2000Q4,18,3.4,0,0,0,0,5,10,15,35,20,10,5,0,4.761904761904762
2000Q4,19,3.2,0,0,0,0,0,0,20,80,0,0,0,0,1.4705882352941178
2000Q4,20,3.3,0,0,0,0,0,0,10,70,20,0,0,0,1.8518518518518519
2000Q4,22,3.7,.98039216,.98039216,1.96078431,2.94117647,3.92156863,3.92156863,19.60784314,19.60784314,29.41176471,14.70588235,.98039216,.98039216,5.270516716165393
2000Q4,23,3.2,0,0,0,0,0,0,25,50,25,0,0,0,2.6666666666666665
