TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility
2000Dec,73,1.8,,,,,70,30,,,,1.7241379310344827
2000Dec,76,1.3,2.5,5,15,35,25,10,5,2.5,,4.4692737430167595
2000Dec,85,1.3,,,,,,,,,,1
2000Dec,87,1.6,,,,30,60,10,,,,2.1739130434782608
2000Dec,89,1.8,,,,20,50,20,10,,,2.9411764705882355
2000Dec,90,1.4,,,,55,45,,,,,1.9801980198019802
2000Dec,91,1.1,,.6,33.2,61.4,4.8,,,,,2.042650543345044
2000Dec,92,1.92,,1.36623165,5.44453507,15.21207178,26.05016313,27.35522023,17.6182708,6.95350734,,4.881405086681275
2000Dec,94,1.5,,,,30,60,10,,,,2.1739130434782608
2000Dec,95,1.6,,2,15,27,29,19,7,1,,4.524886877828054
""
TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility,,
2001Mar,1,1.9,0,0,0,3,80,17,0,0,0,1.492982979994028,,
2001Mar,2,2,0,0,0,20,40,40,0,0,0,2.7777777777777777,,
2001Mar,3,2,0,0,0,0,50,50,0,0,0,2.0,,
2001Mar,4,1.5,0,0,0,30,50,20,0,0,0,2.6315789473684212,,
2001Mar,5,1.6,0,0,0,5,90,5,0,0,0,1.2269938650306749,,
2001Mar,7,2.1,,,,,,,,,,1,,
2001Mar,9,1.7,0,0,0,0,80,20,0,0,0,1.4705882352941178,,
2001Mar,10,1.6,0,0,10,40,40,10,0,0,0,2.9411764705882355,,
2001Mar,14,1.6,0,0,0,20,80,0,0,0,0,1.4705882352941178,,
2001Mar,15,2.1,0,0,0,5,50,35,10,0,0,2.5974025974025974,,
2001Mar,16,.9,0,5,30,30,20,10,4,1,0,4.269854824935952,,
2001Mar,17,1.9,0,15,20,40,20,5,0,0,0,3.7735849056603774,,
2001Mar,18,1.5,0,5,15,30,30,15,5,0,0,4.3478260869565215,,
2001Mar,19,2,0,0,0,0,0,100,0,0,0,1.0,,
2001Mar,20,1.8,0,0,0,0,90,10,0,0,0,1.2195121951219512,,
2001Mar,22,1.2,1,1,20,35,30,10,1,1,1,3.802281368821292,,
2001Mar,23,1.6,0,0,0,10,60,30,0,0,0,2.1739130434782608,,
2001Mar,24,1.7,0,0,0,10,55,35,0,0,0,2.2988505747126435,,
2001Mar,26,1.5,0,0,0,20,70,10,0,0,0,1.8518518518518519,,
2001Mar,31,1.9,,,,,,,,,,1,,
2001Mar,32,1.8,0,0,5,20,50,20,5,0,0,2.985074626865672,,
2001Mar,33,2,0,0,0,0,0,90,10,0,0,1.2195121951219512,,
2001Mar,34,2,0,0,0,20,80,0,0,0,0,1.4705882352941178,,
2001Mar,35,2.2,0,0,0,0,20,60,20,0,0,2.272727272727273,,
2001Mar,36,2,0,0,10,10,40,30,10,0,0,3.5714285714285716,,
2001Mar,37,1.8,0,0,0,0,50,50,0,0,0,2.0,,
2001Mar,38,1.9,0,0,0,0,80,20,0,0,0,1.4705882352941178,,
2001Mar,39,1.8,0,0,0,10,60,30,0,0,0,2.1739130434782608,,
2001Mar,40,1.7,0,0,0,15,60,20,5,0,0,2.3529411764705883,,
2001Mar,41,1.5,0,0,0,30,70,0,0,0,0,1.7241379310344827,,
2001Mar,42,1.5,0,0,0,45,55,0,0,0,0,1.9801980198019802,,
2001Mar,46,2.26,0,0,0,5,24,41,25,5,0,3.4106412005457027,,
2001Mar,48,1.4,0,0,0,50,50,0,0,0,0,2.0,,
2001Mar,53,1.5,0,0,0,30,70,0,0,0,0,1.7241379310344827,,
2001Mar,55,2,.1,1,5.5,17.9,32,30.6,11.2,1.6,.1,4.0982934705988425,,
2001Mar,56,1.8,0,0,0,0,80,20,0,0,0,1.4705882352941178,,
2001Mar,57,1.8,0,0,0,15,80,5,0,0,0,1.5037593984962405,,
2001Mar,59,1.2,0,0,9.52380952,47.61904762,38.0952381,4.76190476,0,0,0,2.609467455374251,,
2001Mar,61,1.4,0,0,0,40,40,20,0,0,0,2.7777777777777777,,
2001Mar,64,1.8,1,1,7,18,44,17,8,2,2,3.7425149700598803,,
2001Mar,67,2,0,0,0,0,40,50,10,0,0,2.380952380952381,,
2001Mar,70,1.9,0,0,0,5,45,40,10,0,0,2.6666666666666665,,
2001Mar,71,1.2,0,0,10,15,60,10,5,0,0,2.4691358024691357,,
2001Mar,72,1.7,1,3,7,15,25,20,15,10,4,6.0606060606060606,,
2001Mar,73,1.7,0,0,0,0,70,30,0,0,0,1.7241379310344827,,
2001Mar,76,1.7,0,0,5,20,40,20,10,5,0,3.9215686274509802,,
2001Mar,82,1.4,0,0,25,30,30,15,0,0,0,3.7735849056603774,,
2001Mar,85,1.6,0,0,20,25,45,10,0,0,0,3.1746031746031744,,
2001Mar,87,1.5,0,0,0,45,50,5,0,0,0,2.197802197802198,,
2001Mar,89,1.7,0,0,0,20,50,20,10,0,0,2.9411764705882355,,
2001Mar,90,1.6,0,0,0,5,85,10,0,0,0,1.3605442176870748,,
2001Mar,92,1.44,0,6.88859922,15.19101574,25.76957786,26.79233932,17.08613256,6.67803068,1.59430462,0,5.002015375546415,,
2001Mar,94,1.7,0,0,0,30,60,10,0,0,0,2.1739130434782608,,
2001Mar,95,1.5,0,3,18,29,28,16,5,1,0,4.464285714285714,,
2001Mar,96,1.7,0,0,0,5,55,35,5,0,0,2.3255813953488373,,
""
TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility,,
2001Jun,1,2,0,0,1,14,30,30,20,4,1,4.142502071251036,,
2001Jun,3,1.9,0,0,0,0,60,40,0,0,0,1.9230769230769231,,
2001Jun,4,1.8,0,0,0,10,50,40,0,0,0,2.380952380952381,,
2001Jun,5,1.7,0,0,0,10,80,10,0,0,0,1.5151515151515151,,
2001Jun,7,2,,,,,,,,,,1,,
2001Jun,9,2,0,0,0,0,50,50,0,0,0,2.0,,
2001Jun,10,1.9,0,0,0,0,20,50,30,0,0,2.6315789473684212,,
2001Jun,11,1.6,0,0,0,30,60,10,0,0,0,2.1739130434782608,,
2001Jun,14,1.7,0,0,0,10,80,10,0,0,0,1.5151515151515151,,
2001Jun,15,2,0,0,0,5,50,40,5,0,0,2.4096385542168677,,
2001Jun,17,1.6,0,0,10,20,40,25,5,0,0,3.6363636363636362,,
2001Jun,19,1.8,0,0,0,0,75,25,0,0,0,1.6,,
2001Jun,20,1.8,0,0,0,0,70,30,0,0,0,1.7241379310344827,,
2001Jun,22,1,3,6,30,30,20,5,3,2,1,4.378283712784588,,
2001Jun,26,1.9,0,0,0,10,40,40,10,0,0,2.9411764705882355,,
2001Jun,30,1.6,0,0,0,15,80,5,0,0,0,1.5037593984962405,,
2001Jun,31,1.5,,,,,,,,,,1,,
2001Jun,32,1.8,0,0,0,10,45,35,10,0,0,2.898550724637681,,
2001Jun,33,2.1,0,0,0,0,10,80,10,0,0,1.5151515151515151,,
2001Jun,35,2,0,0,0,0,30,50,20,0,0,2.6315789473684212,,
2001Jun,36,2.2,0,0,5,10,40,35,10,0,0,3.278688524590164,,
2001Jun,37,2.2,0,0,0,0,50,50,0,0,0,2.0,,
2001Jun,39,2.1,0,0,0,5,35,55,5,0,0,2.3255813953488373,,
2001Jun,41,1.8,0,0,0,10,60,30,0,0,0,2.1739130434782608,,
2001Jun,45,1.91,0,0,.37,11.01,49.06,35.43,4.06,.07,0,2.6315692521132816,,
2001Jun,46,1.93,0,0,0,0,79.28,20.72,0,0,0,1.489283828426878,,
